0.10/ -16.49650617
0.11/ -16.49656207
0.12/ -16.49667698
0.13/ -16.49619180
0.14/ -16.49762663
0.15/ -16.49520336
0.16/ -16.49907058
0.17/ -16.49527457
0.18/ -16.49527457
0.19/ -16.49879176
0.20/ -16.49408993
0.21/ -16.49408993
0.22/ -16.50092901
0.23/ -16.50092901
0.24/ -16.50092901
0.25/ -16.49586741
0.26/ -16.49586741
0.27/ -16.49586741
0.28/ -16.49494189
0.29/ -16.49494189
0.30/ -16.49494189
0.31/ -16.49494189
0.32/ -16.49797218
0.33/ -16.49797218
0.34/ -16.49797218
0.35/ -16.49797218
0.36/ -16.49797218
0.37/ -16.50816586
0.38/ -16.50816586
0.39/ -16.50816586
0.40/ -16.50816586
